delta,val,tare
1420,8271741,270321
1371,8271692,270321
1540,8271861,270321
1517,8271838,270321
1278,8271599,270321
1364,8271685,270321
1221,8271542,270321
1082,8271403,270321
1221,8271542,270321
1128,8271449,270321
894,8271215,270321
937,8271258,270321
1048,8271369,270321
1116,8271437,270321
990,8271311,270321
1118,8271439,270321
1138,8271459,270321
1118,8271439,270321
1047,8271368,270321
1118,8271439,270321
977,8271298,270321
1315,8271636,270321
1309,8271630,270321
1262,8271583,270321
1168,8271489,270321
1003,8271324,270321
1007,8271328,270321
1042,8271363,270321
1062,8271383,270321
1117,8271438,270321
1104,8271425,270321
748,8271069,270321
-220,8270101,270321
-226,8270095,270321
-367,8269954,270321
-226,8270095,270321
-234,8270087,270321
27,8270348,270321
-39,8270282,270321
-733,8269588,270321
-443,8269878,270321
-323,8269998,270321
-316,8270005,270321
-300,8270021,270321
-317,8270004,270321
-286,8270035,270321
-394,8269927,270321
-322,8269999,270321
-272,8270049,270321
-272,8270049,270321
-369,8269952,270321
-412,8269909,270321
-382,8269939,270321
-363,8269958,270321
-306,8270015,270321
-385,8269936,270321
-417,8269904,270321
-399,8269922,270321
-365,8269956,270321
-387,8269934,270321
-346,8269975,270321
-351,8269970,270321
-351,8269970,270321
-342,8269979,270321
-218,8270103,270321
-257,8270064,270321
-323,8269998,270321
-265,8270056,270321
-277,8270044,270321
-359,8269962,270321
-351,8269970,270321
-482,8269839,270321
-469,8269852,270321
-426,8269895,270321
-376,8269945,270321
-412,8269909,270321
-437,8269884,270321
-452,8269869,270321
-430,8269891,270321
-393,8269928,270321
-425,8269896,270321
-414,8269907,270321
-446,8269875,270321
-637,8269684,270321
-628,8269693,270321
-588,8269733,270321
-505,8269816,270321
-564,8269757,270321
-534,8269787,270321
-531,8269790,270321
-495,8269826,270321
-669,8269652,270321
-650,8269671,270321
-669,8269652,270321
-590,8269731,270321
-614,8269707,270321
-546,8269775,270321
-573,8269748,270321
-547,8269774,270321
-581,8269740,270321
-593,8269728,270321
-681,8269640,270321
-701,8269620,270321
-652,8269669,270321
